Primary.Site,Case.ID,tissue
Bladder,TCGA-CF-A3MH-01A,Bladder
Bladder,TCGA-CF-A3MI-01A,Bladder
Bladder,TCGA-CF-A47S-01A,Bladder
Bladder,TCGA-CF-A47T-01A,Bladder
Bladder,TCGA-CF-A47V-01A,Bladder
Bladder,TCGA-CF-A47W-01A,Bladder
Bladder,TCGA-CF-A47X-01A,Bladder
Bladder,TCGA-CF-A47Y-01A,Bladder
Bladder,TCGA-CF-A5U8-01A,Bladder
Bladder,TCGA-CF-A5UA-01A,Bladder
Bladder,TCGA-CF-A7I0-01A,Bladder
Bladder,TCGA-CF-A8HX-01A,Bladder
Bladder,TCGA-CF-A8HY-01A,Bladder
Bladder,TCGA-CF-A9FF-01A,Bladder
Bladder,TCGA-CF-A9FH-01A,Bladder
Bladder,TCGA-CF-A9FL-01A,Bladder
Bladder,TCGA-CF-A9FM-01A,Bladder
Bladder,TCGA-CU-A0YN-01A,Bladder
Bladder,TCGA-CU-A0YN-11A,Bladder
Bladder,TCGA-CU-A0YO-01A,Bladder
Bladder,TCGA-CU-A0YR-01A,Bladder
Bladder,TCGA-CU-A0YR-11A,Bladder
Bladder,TCGA-CU-A3KJ-01A,Bladder
Bladder,TCGA-CU-A3QU-01A,Bladder
Bladder,TCGA-CU-A3YL-01A,Bladder
Bladder,TCGA-CU-A5W6-01A,Bladder
Bladder,TCGA-CU-A72E-01A,Bladder
Bladder,TCGA-DK-A1A3-01A,Bladder
Bladder,TCGA-DK-A1A5-01A,Bladder
Bladder,TCGA-DK-A1A6-01A,Bladder
Bladder,TCGA-DK-A1A7-01A,Bladder
Bladder,TCGA-DK-A1AA-01A,Bladder
Bladder,TCGA-DK-A1AB-01A,Bladder
Bladder,TCGA-DK-A1AC-01A,Bladder
Bladder,TCGA-DK-A1AD-01A,Bladder
Bladder,TCGA-DK-A1AE-01A,Bladder
Bladder,TCGA-DK-A1AF-01A,Bladder
Bladder,TCGA-DK-A1AG-01A,Bladder
Bladder,TCGA-DK-A2HX-01A,Bladder
Bladder,TCGA-DK-A2I1-01A,Bladder
Bladder,TCGA-DK-A2I2-01A,Bladder
Bladder,TCGA-DK-A2I4-01A,Bladder
Bladder,TCGA-DK-A2I6-01A,Bladder
Bladder,TCGA-DK-A3IK-01A,Bladder
Bladder,TCGA-DK-A3IL-01A,Bladder
Bladder,TCGA-DK-A3IM-01A,Bladder
Bladder,TCGA-DK-A3IN-01A,Bladder
Bladder,TCGA-DK-A3IQ-01A,Bladder
Bladder,TCGA-DK-A3IS-01A,Bladder
Bladder,TCGA-DK-A3IT-01A,Bladder
Bladder,TCGA-DK-A3IU-01A,Bladder
Bladder,TCGA-DK-A3IV-01A,Bladder
Bladder,TCGA-DK-A3WW-01A,Bladder
Bladder,TCGA-DK-A3WX-01A,Bladder
Bladder,TCGA-DK-A3WY-01A,Bladder
Bladder,TCGA-DK-A3X1-01A,Bladder
Bladder,TCGA-DK-A3X2-01A,Bladder
Bladder,TCGA-DK-A6AV-01A,Bladder
Bladder,TCGA-DK-A6AW-01A,Bladder
Bladder,TCGA-DK-A6B0-01A,Bladder
Bladder,TCGA-DK-A6B1-01A,Bladder
Bladder,TCGA-DK-A6B2-01A,Bladder
Bladder,TCGA-DK-A6B5-01A,Bladder
Bladder,TCGA-DK-A6B6-01A,Bladder
Bladder,TCGA-DK-AA6L-01A,Bladder
Bladder,TCGA-DK-AA6M-01A,Bladder
Bladder,TCGA-DK-AA6P-01A,Bladder
Bladder,TCGA-DK-AA6Q-01A,Bladder
Bladder,TCGA-DK-AA6R-01A,Bladder
Bladder,TCGA-DK-AA6S-01A,Bladder
Bladder,TCGA-DK-AA6T-01A,Bladder
Bladder,TCGA-DK-AA6U-01A,Bladder
Bladder,TCGA-DK-AA6W-01A,Bladder
Bladder,TCGA-DK-AA6X-01A,Bladder
Bladder,TCGA-DK-AA71-01A,Bladder
Bladder,TCGA-DK-AA74-01A,Bladder
Bladder,TCGA-DK-AA75-01A,Bladder
Bladder,TCGA-DK-AA76-01A,Bladder
Bladder,TCGA-DK-AA77-01A,Bladder
Bladder,TCGA-E5-A2PC-01A,Bladder
Bladder,TCGA-E5-A4TZ-01A,Bladder
Bladder,TCGA-E5-A4U1-01A,Bladder
Bladder,TCGA-E7-A3X6-01A,Bladder
Bladder,TCGA-E7-A3Y1-01A,Bladder
Bladder,TCGA-E7-A4IJ-01A,Bladder
Bladder,TCGA-E7-A4XJ-01A,Bladder
Bladder,TCGA-E7-A519-01A,Bladder
Bladder,TCGA-E7-A541-01A,Bladder
Bladder,TCGA-E7-A5KE-01A,Bladder
Bladder,TCGA-E7-A5KF-01A,Bladder
Bladder,TCGA-E7-A677-01A,Bladder
Bladder,TCGA-E7-A678-01A,Bladder
Bladder,TCGA-E7-A6MD-01A,Bladder
Bladder,TCGA-E7-A6ME-01A,Bladder
Bladder,TCGA-E7-A6MF-01A,Bladder
Bladder,TCGA-E7-A7DU-01A,Bladder
Bladder,TCGA-E7-A7DV-01A,Bladder
Bladder,TCGA-E7-A7PW-01A,Bladder
Bladder,TCGA-E7-A7XN-01A,Bladder
Bladder,TCGA-E7-A85H-01A,Bladder
Bladder,TCGA-E7-A8O7-01A,Bladder
Bladder,TCGA-E7-A8O8-01A,Bladder
Bladder,TCGA-E7-A97P-01A,Bladder
Bladder,TCGA-E7-A97Q-01A,Bladder
Bladder,TCGA-FD-A3B3-01A,Bladder
Bladder,TCGA-FD-A3B4-01A,Bladder
Bladder,TCGA-FD-A3B5-01A,Bladder
Bladder,TCGA-FD-A3B6-01A,Bladder
Bladder,TCGA-FD-A3B7-01A,Bladder
Bladder,TCGA-FD-A3B8-01A,Bladder
Bladder,TCGA-FD-A3N5-01A,Bladder
Bladder,TCGA-FD-A3N6-01A,Bladder
Bladder,TCGA-FD-A3NA-01A,Bladder
Bladder,TCGA-FD-A3SJ-01A,Bladder
Bladder,TCGA-FD-A3SL-01A,Bladder
Bladder,TCGA-FD-A3SM-01A,Bladder
Bladder,TCGA-FD-A3SN-01A,Bladder
Bladder,TCGA-FD-A3SO-01A,Bladder
Bladder,TCGA-FD-A3SP-01A,Bladder
Bladder,TCGA-FD-A3SQ-01A,Bladder
Bladder,TCGA-FD-A3SR-01A,Bladder
Bladder,TCGA-FD-A3SS-01A,Bladder
Bladder,TCGA-FD-A43N-01A,Bladder
Bladder,TCGA-FD-A43P-01A,Bladder
Bladder,TCGA-FD-A43S-01A,Bladder
Bladder,TCGA-FD-A43U-01A,Bladder
Bladder,TCGA-FD-A43X-01A,Bladder
Bladder,TCGA-FD-A43Y-01A,Bladder
Bladder,TCGA-FD-A5BR-01A,Bladder
Bladder,TCGA-FD-A5BS-01A,Bladder
Bladder,TCGA-FD-A5BT-01A,Bladder
Bladder,TCGA-FD-A5BU-01A,Bladder
Bladder,TCGA-FD-A5BV-01A,Bladder
Bladder,TCGA-FD-A5BX-01A,Bladder
Bladder,TCGA-FD-A5BY-01A,Bladder
Bladder,TCGA-FD-A5BZ-01A,Bladder
Bladder,TCGA-FD-A5C0-01A,Bladder
Bladder,TCGA-FD-A5C1-01A,Bladder
Bladder,TCGA-FD-A62N-01A,Bladder
Bladder,TCGA-FD-A62O-01A,Bladder
Bladder,TCGA-FD-A62P-01A,Bladder
Bladder,TCGA-FD-A62S-01A,Bladder
Bladder,TCGA-FD-A6TA-01A,Bladder
Bladder,TCGA-FD-A6TB-01A,Bladder
Bladder,TCGA-FD-A6TC-01A,Bladder
Bladder,TCGA-FD-A6TD-01A,Bladder
Bladder,TCGA-FD-A6TE-01A,Bladder
Bladder,TCGA-FD-A6TF-01A,Bladder
Bladder,TCGA-FD-A6TG-01A,Bladder
Bladder,TCGA-FD-A6TH-01A,Bladder
Bladder,TCGA-FD-A6TI-01A,Bladder
Bladder,TCGA-FD-A6TK-01A,Bladder
Bladder,TCGA-FJ-A3Z7-01A,Bladder
Bladder,TCGA-FJ-A3Z9-01A,Bladder
Bladder,TCGA-FJ-A3ZE-01A,Bladder
Bladder,TCGA-FJ-A3ZF-01A,Bladder
Bladder,TCGA-FJ-A871-01A,Bladder
Bladder,TCGA-FT-A3EE-01A,Bladder
Bladder,TCGA-FT-A61P-01A,Bladder
Bladder,TCGA-G2-A2EC-01A,Bladder
Bladder,TCGA-G2-A2EF-01A,Bladder
Bladder,TCGA-G2-A2EJ-01A,Bladder
Bladder,TCGA-G2-A2EK-01A,Bladder
Bladder,TCGA-G2-A2EL-01A,Bladder
Bladder,TCGA-G2-A2EO-01A,Bladder
Bladder,TCGA-G2-A2ES-01A,Bladder
Bladder,TCGA-G2-A3IB-01A,Bladder
Bladder,TCGA-G2-A3IE-01A,Bladder
Bladder,TCGA-G2-A3VY-01A,Bladder
Bladder,TCGA-G2-AA3B-01A,Bladder
Bladder,TCGA-G2-AA3D-01A,Bladder
Bladder,TCGA-G2-AA3F-01A,Bladder
Bladder,TCGA-GC-A3BM-01A,Bladder
Bladder,TCGA-GC-A3BM-11A,Bladder
Bladder,TCGA-GC-A3I6-01A,Bladder
Bladder,TCGA-GC-A3OO-01A,Bladder
Bladder,TCGA-GC-A3RB-01A,Bladder
Bladder,TCGA-GC-A3RC-01A,Bladder
Bladder,TCGA-GC-A3RD-01A,Bladder
Bladder,TCGA-GC-A3WC-01A,Bladder
Bladder,TCGA-GC-A3WC-11A,Bladder
Bladder,TCGA-GC-A3YS-01A,Bladder
Bladder,TCGA-GC-A4ZW-01A,Bladder
Bladder,TCGA-GC-A6I1-01A,Bladder
Bladder,TCGA-GC-A6I3-01A,Bladder
Bladder,TCGA-GC-A6I3-11A,Bladder
Bladder,TCGA-GD-A2C5-01A,Bladder
Bladder,TCGA-GD-A2C5-11A,Bladder
Bladder,TCGA-GD-A3OP-01A,Bladder
Bladder,TCGA-GD-A3OP-11A,Bladder
Bladder,TCGA-GD-A3OQ-01A,Bladder
Bladder,TCGA-GD-A3OQ-11A,Bladder
Bladder,TCGA-GD-A3OS-01A,Bladder
Bladder,TCGA-GD-A6C6-01A,Bladder
Bladder,TCGA-GD-A76B-01A,Bladder
Bladder,TCGA-GU-A42P-01A,Bladder
Bladder,TCGA-GU-A42Q-01A,Bladder
Bladder,TCGA-GU-A42R-01A,Bladder
Bladder,TCGA-GU-A762-01A,Bladder
Bladder,TCGA-GU-A763-01A,Bladder
Bladder,TCGA-GU-A764-01A,Bladder
Bladder,TCGA-GU-A766-01A,Bladder
Bladder,TCGA-GU-A767-01A,Bladder
Bladder,TCGA-GU-AATO-01A,Bladder
Bladder,TCGA-GU-AATP-01A,Bladder
Bladder,TCGA-GU-AATQ-01A,Bladder
Bladder,TCGA-GV-A3JV-01A,Bladder
Bladder,TCGA-GV-A3JW-01A,Bladder
Bladder,TCGA-GV-A3JX-01A,Bladder
Bladder,TCGA-GV-A3JZ-01A,Bladder
Bladder,TCGA-GV-A3QF-01A,Bladder
Bladder,TCGA-GV-A3QG-01A,Bladder
Bladder,TCGA-GV-A3QH-01A,Bladder
Bladder,TCGA-GV-A3QI-01A,Bladder
Bladder,TCGA-GV-A3QK-01B,Bladder
Bladder,TCGA-GV-A40E-01A,Bladder
Bladder,TCGA-GV-A40G-01A,Bladder
Bladder,TCGA-GV-A6ZA-01A,Bladder
Bladder,TCGA-H4-A2HO-01A,Bladder
Bladder,TCGA-H4-A2HQ-01A,Bladder
Bladder,TCGA-HQ-A2OE-01A,Bladder
Bladder,TCGA-HQ-A2OF-01A,Bladder
Bladder,TCGA-HQ-A5ND-01A,Bladder
Bladder,TCGA-HQ-A5NE-01A,Bladder
Bladder,TCGA-K4-A3WS-01A,Bladder
Bladder,TCGA-K4-A3WU-01B,Bladder
Bladder,TCGA-K4-A3WV-01A,Bladder
Bladder,TCGA-K4-A3WV-11A,Bladder
Bladder,TCGA-K4-A4AB-01B,Bladder
Bladder,TCGA-K4-A4AC-01A,Bladder
Bladder,TCGA-K4-A54R-01A,Bladder
Bladder,TCGA-K4-A54R-11A,Bladder
Bladder,TCGA-K4-A5RH-01A,Bladder
Bladder,TCGA-K4-A5RI-01A,Bladder
Bladder,TCGA-K4-A5RI-11A,Bladder
Bladder,TCGA-K4-A5RJ-01A,Bladder
Bladder,TCGA-K4-A6FZ-01A,Bladder
Bladder,TCGA-K4-A6MB-01A,Bladder
Bladder,TCGA-K4-A83P-01A,Bladder
Bladder,TCGA-K4-AAQO-01A,Bladder
Bladder,TCGA-KQ-A41N-01A,Bladder
Bladder,TCGA-KQ-A41O-01A,Bladder
Bladder,TCGA-KQ-A41P-01A,Bladder
Bladder,TCGA-KQ-A41Q-01A,Bladder
Bladder,TCGA-KQ-A41R-01A,Bladder
Bladder,TCGA-KQ-A41S-01A,Bladder
Bladder,TCGA-LC-A66R-01A,Bladder
Bladder,TCGA-LT-A5Z6-01A,Bladder
Bladder,TCGA-LT-A8JT-01A,Bladder
Bladder,TCGA-MV-A51V-01A,Bladder
Bladder,TCGA-PQ-A6FI-01A,Bladder
Bladder,TCGA-PQ-A6FN-01A,Bladder
Bladder,TCGA-R3-A69X-01A,Bladder
Bladder,TCGA-S5-A6DX-01A,Bladder
Bladder,TCGA-S5-AA26-01A,Bladder
Bladder,TCGA-SY-A9G0-01A,Bladder
Bladder,TCGA-SY-A9G5-01A,Bladder
Bladder,TCGA-UY-A78K-01A,Bladder
Bladder,TCGA-UY-A78L-01A,Bladder
Bladder,TCGA-UY-A78M-01A,Bladder
Bladder,TCGA-UY-A78N-01A,Bladder
Bladder,TCGA-UY-A78O-01A,Bladder
Bladder,TCGA-UY-A78P-01A,Bladder
Bladder,TCGA-UY-A8OB-01A,Bladder
Bladder,TCGA-UY-A8OC-01A,Bladder
Bladder,TCGA-UY-A8OD-01A,Bladder
Bladder,TCGA-UY-A9PA-01A,Bladder
Bladder,TCGA-UY-A9PB-01A,Bladder
Bladder,TCGA-UY-A9PD-01A,Bladder
Bladder,TCGA-UY-A9PE-01A,Bladder
Bladder,TCGA-UY-A9PF-01A,Bladder
Bladder,TCGA-UY-A9PH-01A,Bladder
Bladder,TCGA-XF-A8HB-01A,Bladder
Bladder,TCGA-XF-A8HC-01A,Bladder
Bladder,TCGA-XF-A8HD-01A,Bladder
Bladder,TCGA-XF-A8HE-01A,Bladder
Bladder,TCGA-XF-A8HF-01A,Bladder
Bladder,TCGA-XF-A8HG-01A,Bladder
Bladder,TCGA-XF-A8HH-01A,Bladder
Bladder,TCGA-XF-A8HI-01A,Bladder
Bladder,TCGA-XF-A9SH-01A,Bladder
Bladder,TCGA-XF-A9SI-01A,Bladder
Bladder,TCGA-XF-A9SJ-01A,Bladder
