gene_id,housekeeping_genes,high_corr,low_CV_rank,high_CV_rank,high_feature,tRNA_related,rRNA_ribosome,high_feature_2
ENSG00000010072.14,0,1,0,0,1,0,0,0
ENSG00000010165.18,1,1,0,0,0,0,1,0
ENSG00000010219.12,0,1,0,0,1,0,0,0
ENSG00000010244.15,1,1,1,0,0,1,1,1
ENSG00000010256.9,1,0,1,0,0,0,1,1
ENSG00000010278.10,0,0,1,0,0,1,0,1
ENSG00000010282.13,0,0,0,1,0,0,0,1
ENSG00000010292.11,0,1,0,0,0,0,0,0
ENSG00000010322.14,1,1,1,0,0,0,0,1
ENSG00000010361.12,0,1,0,0,0,0,0,0
ENSG00000010379.14,0,1,0,1,0,0,0,1
ENSG00000010404.16,0,0,1,0,0,0,0,0
ENSG00000010438.15,0,0,0,1,0,0,0,0
ENSG00000010539.10,0,0,0,0,1,0,0,0
ENSG00000010626.13,0,1,0,0,0,0,0,0
ENSG00000010704.17,0,0,0,0,1,0,0,0
ENSG00000010803.15,0,0,0,0,1,0,0,0
ENSG00000010810.16,0,0,0,0,0,1,1,0
ENSG00000010818.7,0,0,0,0,1,0,0,0
ENSG00000011007.11,0,0,1,0,0,0,1,0
ENSG00000011009.9,0,0,0,0,1,0,0,0
ENSG00000011083.7,0,0,0,1,0,0,0,0
ENSG00000011114.13,0,0,0,0,0,0,1,0
ENSG00000011132.10,0,0,0,0,1,0,0,0
ENSG00000011143.15,0,0,0,0,1,0,0,0
ENSG00000011198.6,0,0,0,0,1,0,0,0
ENSG00000011243.16,0,1,0,0,1,0,0,0
ENSG00000011258.14,0,0,0,0,1,0,0,0
ENSG00000011260.12,0,1,0,0,0,0,1,0
ENSG00000011275.17,1,0,1,0,1,0,0,0
ENSG00000011295.14,1,0,0,0,0,0,0,0
ENSG00000011304.15,0,0,1,0,0,0,1,0
ENSG00000011376.8,1,0,0,0,1,1,1,0
ENSG00000011405.12,0,0,0,0,1,0,0,0
ENSG00000011422.10,0,1,0,0,0,0,0,0
ENSG00000011426.9,0,1,0,0,0,0,0,0
ENSG00000011451.16,1,0,1,0,0,0,0,0
ENSG00000011454.15,0,0,1,0,1,0,0,0
ENSG00000011465.15,0,0,0,0,0,0,1,1
ENSG00000011478.10,0,0,0,0,1,0,0,0
ENSG00000011485.13,1,0,1,0,0,1,0,0
ENSG00000011523.12,0,0,0,0,1,1,0,0
ENSG00000011566.13,0,0,0,0,1,0,0,0
ENSG00000011638.9,0,1,0,0,0,0,1,0
ENSG00000011677.11,0,0,0,1,0,0,0,1
ENSG00000012048.18,0,1,0,0,0,1,0,0
ENSG00000012061.14,1,0,1,0,0,1,0,0
ENSG00000012124.13,0,0,0,0,0,0,1,0
ENSG00000012174.10,1,0,0,0,1,0,0,0
ENSG00000012211.11,0,1,0,0,0,0,0,0
ENSG00000012223.11,0,0,0,0,0,0,0,1
ENSG00000012232.7,1,0,0,0,0,0,0,0
ENSG00000012504.12,0,1,0,1,0,0,0,1
ENSG00000012660.12,0,0,0,0,1,1,0,0
ENSG00000012779.9,0,0,0,0,0,0,1,0
ENSG00000012817.14,0,0,0,1,0,0,0,1
ENSG00000012822.14,0,1,1,0,0,0,0,0
ENSG00000012963.12,1,0,1,0,1,0,1,0
ENSG00000012983.10,0,0,0,0,1,0,0,0
ENSG00000013275.6,1,0,1,0,0,0,0,0
ENSG00000013288.7,1,0,1,0,0,0,0,0
ENSG00000013293.5,0,1,0,1,0,0,0,0
ENSG00000013306.14,1,0,1,0,0,0,0,1
ENSG00000013364.17,0,0,1,0,0,0,0,0
ENSG00000013374.14,1,0,1,0,0,0,0,0
ENSG00000013392.7,0,1,0,0,0,0,0,0
ENSG00000013503.8,0,0,0,0,1,0,0,0
ENSG00000013561.16,1,0,0,0,0,0,0,0
ENSG00000013573.15,0,0,0,0,1,0,1,0
ENSG00000013583.7,1,0,0,0,0,0,0,1
ENSG00000013588.5,0,1,0,0,0,0,0,0
ENSG00000013810.17,0,1,0,0,1,0,0,0
ENSG00000014123.9,1,0,0,0,1,0,0,0
ENSG00000014138.7,0,1,0,0,1,0,1,0
ENSG00000014164.6,1,0,0,0,0,0,0,0
ENSG00000014216.14,1,0,1,0,0,0,0,0
ENSG00000014641.16,0,0,1,0,0,1,0,0
ENSG00000014824.12,1,0,1,0,0,1,0,0
ENSG00000014919.11,1,0,1,0,0,0,0,0
ENSG00000015133.17,0,1,0,0,1,0,0,0
ENSG00000015153.13,1,0,0,0,1,1,0,0
ENSG00000015171.17,1,0,1,0,0,1,0,0
ENSG00000015285.9,0,0,0,0,0,0,1,0
ENSG00000015413.8,0,0,0,1,0,0,0,0
ENSG00000015475.17,0,0,0,0,1,0,0,0
ENSG00000015479.16,0,0,0,0,1,0,0,0
ENSG00000015520.13,0,0,0,1,0,0,0,0
ENSG00000015532.8,1,0,0,0,0,0,0,0
