,ig_rank,saliency_rank,gs_rank
336,ENSG00000079387.12,ENSG00000185862.6,ENSG00000185379.19
337,ENSG00000140104.12,ENSG00000273899.3,ENSG00000143363.14
338,ENSG00000140750.15,ENSG00000196850.5,ENSG00000169189.15
339,ENSG00000165304.6,ENSG00000213799.9,ENSG00000103042.7
340,ENSG00000169087.9,ENSG00000142892.13,ENSG00000196323.10
341,ENSG00000172766.17,ENSG00000115350.10,ENSG00000105085.9
342,ENSG00000174004.5,ENSG00000175463.10,ENSG00000128915.10
343,ENSG00000114346.12,ENSG00000160932.9,ENSG00000100216.5
344,ENSG00000072756.15,ENSG00000197496.5,ENSG00000013503.8
345,ENSG00000145088.7,ENSG00000188493.13,ENSG00000132792.17
346,ENSG00000140382.13,ENSG00000165487.12,ENSG00000215251.3
347,ENSG00000100629.15,ENSG00000138286.13,ENSG00000167182.12
348,ENSG00000172671.18,ENSG00000198026.7,ENSG00000105443.12
349,ENSG00000205593.10,ENSG00000232859.8,ENSG00000117751.16
350,ENSG00000105851.9,ENSG00000109689.13,ENSG00000155393.11
351,ENSG00000132436.10,ENSG00000096092.5,ENSG00000173914.10
352,ENSG00000165506.13,ENSG00000156853.10,ENSG00000149182.13
353,ENSG00000150756.12,ENSG00000125970.10,ENSG00000038358.13
354,ENSG00000076770.13,ENSG00000133243.7,ENSG00000132600.15
355,ENSG00000138964.15,ENSG00000107201.8,ENSG00000163882.8
356,ENSG00000213066.10,ENSG00000156502.12,ENSG00000204178.8
357,ENSG00000138380.16,ENSG00000114416.16,ENSG00000250571.5
358,ENSG00000117174.9,ENSG00000126777.16,ENSG00000167632.13
359,ENSG00000178177.13,ENSG00000100162.13,ENSG00000163312.9
360,ENSG00000163781.11,ENSG00000112851.13,ENSG00000126934.12
361,ENSG00000131188.10,ENSG00000132510.9,ENSG00000010539.10
362,ENSG00000163293.10,ENSG00000063176.14,ENSG00000163166.12
363,ENSG00000267680.4,ENSG00000138614.13,ENSG00000167186.9
364,ENSG00000135953.9,ENSG00000158470.5,ENSG00000095059.14
365,ENSG00000198718.11,ENSG00000139405.14,ENSG00000159459.10
366,ENSG00000121775.16,ENSG00000276234.3,ENSG00000148300.10
367,ENSG00000109911.16,ENSG00000140598.12,ENSG00000125817.7
368,ENSG00000104043.13,ENSG00000174886.11,ENSG00000157800.16
369,ENSG00000187961.12,ENSG00000187118.11,ENSG00000197619.12
370,ENSG00000132016.10,ENSG00000196177.11,ENSG00000169139.10
371,ENSG00000145348.15,ENSG00000179943.7,ENSG00000150456.9
372,ENSG00000179057.12,ENSG00000156469.7,ENSG00000129460.14
373,ENSG00000166261.9,ENSG00000066117.13,ENSG00000117899.9
374,ENSG00000124444.14,ENSG00000133026.11,ENSG00000176783.13
375,ENSG00000261221.3,ENSG00000105732.11,ENSG00000171988.16
376,ENSG00000144182.15,ENSG00000141560.13,ENSG00000140365.14
377,ENSG00000096996.14,ENSG00000074660.14,ENSG00000011198.6
378,ENSG00000139537.9,ENSG00000130755.11,ENSG00000113593.10
379,ENSG00000171606.16,ENSG00000159111.11,ENSG00000169826.7
380,ENSG00000113456.17,ENSG00000107036.10,ENSG00000196588.13
381,ENSG00000000457.12,ENSG00000148459.14,ENSG00000150455.12
382,ENSG00000251192.6,ENSG00000153147.5,ENSG00000006695.9
383,ENSG00000137054.14,ENSG00000101849.14,ENSG00000164902.12
384,ENSG00000149554.11,ENSG00000156017.11,ENSG00000106344.7
385,ENSG00000074621.12,ENSG00000131747.13,ENSG00000138709.16
386,ENSG00000106305.8,ENSG00000132768.12,ENSG00000172943.17
387,ENSG00000145386.8,ENSG00000170584.9,ENSG00000145293.13
388,ENSG00000114423.17,ENSG00000062822.11,ENSG00000150967.16
389,ENSG00000152443.11,ENSG00000183475.11,ENSG00000106682.13
390,ENSG00000164169.11,ENSG00000266028.6,ENSG00000056097.14
391,ENSG00000204524.6,ENSG00000111300.8,ENSG00000086475.13
392,ENSG00000127663.13,ENSG00000117155.15,ENSG00000198746.11
393,ENSG00000127423.9,ENSG00000122257.17,ENSG00000135972.7
394,ENSG00000162636.14,ENSG00000113658.15,ENSG00000162869.14
395,ENSG00000105618.12,ENSG00000126970.14,ENSG00000009954.9
396,ENSG00000155906.15,ENSG00000172239.12,ENSG00000133997.10
397,ENSG00000011258.14,ENSG00000138463.8,ENSG00000115207.12
