gene_id,ig_rank,saliency_rank,gbp_rank,gs_rank
ENSG00000170430.9,668.6313095,15.70722577,15.70722577,65.10200629
ENSG00000144893.11,438.0215757,15.70145508,15.70145508,124.4144337
ENSG00000156026.13,706.9074785,15.69793288,15.69793288,64.6368727
ENSG00000130522.5,887.6727198,15.69669905,15.69669905,54.51974903
ENSG00000184465.14,553.6551462,15.69564695,15.69564695,55.70512527
ENSG00000132424.13,776.6477745,15.69499784,15.69499784,58.78500709
ENSG00000100220.10,781.6307516,15.6947719,15.6947719,47.55660444
ENSG00000204713.9,832.8157478,15.6941522,15.6941522,50.01499862
ENSG00000164649.18,603.8542619,15.69371102,15.69371102,85.44809907
ENSG00000152784.14,492.1205995,15.69187552,15.69187552,130.766215
ENSG00000151651.14,640.4734729,15.69138589,15.69138589,105.959031
ENSG00000178201.4,433.9707894,15.68315829,15.68315829,102.7178701
ENSG00000188649.10,242.6854794,15.68270555,15.68270555,113.4297195
ENSG00000148908.13,643.6607988,15.68238554,15.68238554,74.10748443
ENSG00000141665.10,386.3592089,15.68231909,15.68231909,112.7630849
ENSG00000102172.14,825.3547456,15.68059494,15.68059494,65.98262731
ENSG00000091181.18,294.5964636,15.68046444,15.68046444,148.1452915
ENSG00000162843.16,237.4458443,15.67783711,15.67783711,119.0653469
ENSG00000102606.16,697.9626752,15.67047352,15.67047352,46.85360596
ENSG00000197580.10,444.4659494,15.67046517,15.67046517,91.69924432
ENSG00000112195.8,438.4230891,15.6697933,15.6697933,206.1782524
ENSG00000005108.14,632.0214848,15.66979064,15.66979064,141.105647
ENSG00000136048.12,673.168917,15.66901486,15.66901486,76.81487858
ENSG00000174791.9,669.6518385,15.66749647,15.66749647,96.24632582
ENSG00000154065.15,553.4956173,15.66647679,15.66647679,122.8500841
ENSG00000167637.15,403.124592,15.66471081,15.66471081,39.04932906
ENSG00000129749.3,409.3618379,15.66402743,15.66402743,67.89640608
ENSG00000118292.7,532.7276633,15.66281355,15.66281355,53.17900582
ENSG00000187066.7,460.5071977,15.66145857,15.66145857,61.58960374
ENSG00000178662.14,453.8007285,15.65949462,15.65949462,119.4557684
ENSG00000173451.5,461.4060467,15.6580273,15.6580273,41.42795406
ENSG00000144659.9,702.5194063,15.65625035,15.65625035,45.67183052
ENSG00000215915.8,581.2885784,15.65441365,15.65441365,132.3952385
ENSG00000137642.11,689.2034833,15.65165621,15.65165621,78.85906952
ENSG00000153066.11,715.6398053,15.65131867,15.65131867,43.08430749
ENSG00000113739.9,652.5384447,15.65009332,15.65009332,139.216873
ENSG00000089250.17,495.7274007,15.64988124,15.64988124,273.0814915
ENSG00000159208.14,556.3493055,15.649221,15.649221,96.41573987
ENSG00000173110.7,1037.686412,15.64734758,15.64734758,201.333461
ENSG00000179889.17,821.9891974,15.64644623,15.64644623,55.3359249
ENSG00000110169.9,427.933287,15.64301057,15.64301057,146.7623842
ENSG00000008018.8,810.8499495,15.64203626,15.64203626,46.63435547
ENSG00000142627.12,663.6899042,15.64015806,15.64015806,102.3672262
